source_id,ra,dec,l,b,dist_sol_pc,vel_rad_km_s,pmra,pmdec,phot_g_mean_mag,bp_rp,dist_centro_kpc
4462418523161518592,249.16771122666435,15.03038400492646,31.97013820431636,36.51685200963449,3908.778,-45.681175,-3.89280563550807,-2.981944079014318,12.747237,1.2957497,6.210516272516741
6873570247825076352,304.7464966194068,-16.28534129249621,27.390659191602712,-26.508050749514922,2705.5317,-5.2810373,3.78012192895348,-3.9149561748155413,13.098683,1.2949953,6.248160254571681
6681239688161225344,310.2608535592773,-40.7804158342636,0.7895895243927623,-37.44367469669362,2785.3896,-28.250893,3.086140723419834,-4.428897227522947,14.146262,1.155899,6.202484052409227
5821880400850509184,242.82821959640737,-65.9561770162363,321.43408570892825,-10.555365821554663,2849.1792,-28.294882,-0.9004608247102,-5.38596280333009,13.102831,1.2728024,6.2591548436627455
6706340507841521280,272.5430186894426,-48.91870622882207,344.6754009237016,-13.82605409721848,2138.9702,-7.27357,0.8443612108001528,-0.1277158641905649,12.292351,1.275464,6.220243520924675
6458455164672446592,323.0308400867144,-59.30427938803787,335.3111889484943,-43.24873344490999,3996.7236,-12.790266,0.6045364323897395,-7.5210079822132885,13.102234,1.2967863,6.292143737271279
5924974253205321216,260.5179112467204,-51.83789877349615,338.24196983031794,-8.597218940514416,2162.7163,-49.756397,-2.4070661480389517,-4.553226981570697,13.645187,1.2883377,6.250829882890092
4391632823560363520,257.5515972235835,4.263185593459079,24.83689919862314,24.4122006924154,2513.254,16.70606,-8.632995811033187,-4.416258812415585,14.1586275,1.2720652,6.263116853311022
6670847069896147712,300.59140416918405,-47.63055760107855,351.63038909437745,-31.302472410821654,2461.6067,2.509471,-2.2221049688788863,-7.418036217480793,13.792234,1.2393665,6.237325144723594
5915936606900967168,259.28315185176837,-58.48708402340799,332.220842072093,-11.693412733287603,2404.4897,-12.548226,-5.789844449904832,-8.423651561867153,13.664747,1.298109,6.2119295821206615
6850108795691992448,300.97357607569415,-26.147800373535485,15.680135510052603,-26.701028884017123,2419.01,-0.5081493,-0.277641627932794,-1.3561973814998498,12.380797,1.2967777,6.2209703689143865
